TAXID	Tool	filtered	index	length_gs	name	precision_bp	precision_seq	rank	recall_bp	recall_seq	seq_counts_gs	total_length	total_seq_counts	tp_length	tp_seq_counts	sample_id
2	Gold standard	False	0	1451338733	Bacteria	1.0	1.0	superkingdom	1.0	1.0	35319	1451338733	35319	1451338733	35319	strmgCAMI2_short_read_pooled_gold_standard_assembly
1239	Gold standard	False	1	516233816	Firmicutes	1.0	1.0	phylum	1.0	1.0	20635	516233816	20635	516233816	20635	strmgCAMI2_short_read_pooled_gold_standard_assembly
1224	Gold standard	False	2	899911682	Proteobacteria	1.0	1.0	phylum	1.0	1.0	13991	899911682	13991	899911682	13991	strmgCAMI2_short_read_pooled_gold_standard_assembly
976	Gold standard	False	3	32644661	Bacteroidetes	1.0	1.0	phylum	1.0	1.0	683	32644661	683	32644661	683	strmgCAMI2_short_read_pooled_gold_standard_assembly
201174	Gold standard	False	4	2548574	Actinobacteria	1.0	1.0	phylum	1.0	1.0	10	2548574	10	2548574	10	strmgCAMI2_short_read_pooled_gold_standard_assembly
91061	Gold standard	False	5	510871134	Bacilli	1.0	1.0	class	1.0	1.0	20427	510871134	20427	510871134	20427	strmgCAMI2_short_read_pooled_gold_standard_assembly
1236	Gold standard	False	6	899911682	Gammaproteobacteria	1.0	1.0	class	1.0	1.0	13991	899911682	13991	899911682	13991	strmgCAMI2_short_read_pooled_gold_standard_assembly
200643	Gold standard	False	7	32644661	Bacteroidia	1.0	1.0	class	1.0	1.0	683	32644661	683	32644661	683	strmgCAMI2_short_read_pooled_gold_standard_assembly
1760	Gold standard	False	8	2548574	Actinobacteria	1.0	1.0	class	1.0	1.0	10	2548574	10	2548574	10	strmgCAMI2_short_read_pooled_gold_standard_assembly
186801	Gold standard	False	9	5362682	Clostridia	1.0	1.0	class	1.0	1.0	208	5362682	208	5362682	208	strmgCAMI2_short_read_pooled_gold_standard_assembly
186826	Gold standard	False	10	444963793	Lactobacillales	1.0	1.0	order	1.0	1.0	19810	444963793	19810	444963793	19810	strmgCAMI2_short_read_pooled_gold_standard_assembly
91347	Gold standard	False	11	899911682	Enterobacterales	1.0	1.0	order	1.0	1.0	13991	899911682	13991	899911682	13991	strmgCAMI2_short_read_pooled_gold_standard_assembly
171549	Gold standard	False	12	32644661	Bacteroidales	1.0	1.0	order	1.0	1.0	683	32644661	683	32644661	683	strmgCAMI2_short_read_pooled_gold_standard_assembly
1385	Gold standard	False	13	65907341	Bacillales	1.0	1.0	order	1.0	1.0	617	65907341	617	65907341	617	strmgCAMI2_short_read_pooled_gold_standard_assembly
85009	Gold standard	False	14	2548574	Propionibacteriales	1.0	1.0	order	1.0	1.0	10	2548574	10	2548574	10	strmgCAMI2_short_read_pooled_gold_standard_assembly
186802	Gold standard	False	15	5362682	Clostridiales	1.0	1.0	order	1.0	1.0	208	5362682	208	5362682	208	strmgCAMI2_short_read_pooled_gold_standard_assembly
81852	Gold standard	False	16	67260662	Enterococcaceae	1.0	1.0	family	1.0	1.0	3489	67260662	3489	67260662	3489	strmgCAMI2_short_read_pooled_gold_standard_assembly
543	Gold standard	False	17	899911682	Enterobacteriaceae	1.0	1.0	family	1.0	1.0	13991	899911682	13991	899911682	13991	strmgCAMI2_short_read_pooled_gold_standard_assembly
1300	Gold standard	False	18	369567717	Streptococcaceae	1.0	1.0	family	1.0	1.0	16141	369567717	16141	369567717	16141	strmgCAMI2_short_read_pooled_gold_standard_assembly
815	Gold standard	False	19	20591498	Bacteroidaceae	1.0	1.0	family	1.0	1.0	544	20591498	544	20591498	544	strmgCAMI2_short_read_pooled_gold_standard_assembly
90964	Gold standard	False	20	58700669	Staphylococcaceae	1.0	1.0	family	1.0	1.0	591	58700669	591	58700669	591	strmgCAMI2_short_read_pooled_gold_standard_assembly
31957	Gold standard	False	21	2548574	Propionibacteriaceae	1.0	1.0	family	1.0	1.0	10	2548574	10	2548574	10	strmgCAMI2_short_read_pooled_gold_standard_assembly
33958	Gold standard	False	22	8135414	Lactobacillaceae	1.0	1.0	family	1.0	1.0	180	8135414	180	8135414	180	strmgCAMI2_short_read_pooled_gold_standard_assembly
2005525	Gold standard	False	23	12053163	Tannerellaceae	1.0	1.0	family	1.0	1.0	139	12053163	139	12053163	139	strmgCAMI2_short_read_pooled_gold_standard_assembly
186822	Gold standard	False	24	7206672	Paenibacillaceae	1.0	1.0	family	1.0	1.0	26	7206672	26	7206672	26	strmgCAMI2_short_read_pooled_gold_standard_assembly
1350	Gold standard	False	25	67260662	Enterococcus	1.0	1.0	genus	1.0	1.0	3489	67260662	3489	67260662	3489	strmgCAMI2_short_read_pooled_gold_standard_assembly
561	Gold standard	False	26	500886313	Escherichia	1.0	1.0	genus	1.0	1.0	8751	500886313	8751	500886313	8751	strmgCAMI2_short_read_pooled_gold_standard_assembly
1301	Gold standard	False	27	367315866	Streptococcus	1.0	1.0	genus	1.0	1.0	16069	367315866	16069	367315866	16069	strmgCAMI2_short_read_pooled_gold_standard_assembly
570	Gold standard	False	28	265384654	Klebsiella	1.0	1.0	genus	1.0	1.0	3191	265384654	3191	265384654	3191	strmgCAMI2_short_read_pooled_gold_standard_assembly
816	Gold standard	False	29	20591498	Bacteroides	1.0	1.0	genus	1.0	1.0	544	20591498	544	20591498	544	strmgCAMI2_short_read_pooled_gold_standard_assembly
544	Gold standard	False	30	15780530	Citrobacter	1.0	1.0	genus	1.0	1.0	314	15780530	314	15780530	314	strmgCAMI2_short_read_pooled_gold_standard_assembly
1279	Gold standard	False	31	58700669	Staphylococcus	1.0	1.0	genus	1.0	1.0	591	58700669	591	58700669	591	strmgCAMI2_short_read_pooled_gold_standard_assembly
