G001873795	G002323245	0.000145921	0	99159/100000
G002730875	G002473045	0.000164444	0	99053/100000
G001769245	G003506435	0.000177568	0	98978/100000
G000008345	G001812935	0.000204914	0	98822/100000
G001768535	G003506435	0.000210005	0	98793/100000
G000025125	G002380595	0.000228983	0	98685/100000
G002344135	G002345135	0.000432653	0	97537/100000
G000008025	G902642035	0.000446442	0	97460/100000
G000024565	G900458955	0.000551736	0	96875/100000
G001768205	G003506435	0.000649229	0	96338/100000
G000021565	G003518825	0.0007288	0	95903/100000
G001566965	G011321975	0.000868375	0	95147/100000
G000010305	G003543295	0.00102296	0	94320/100000
G900094735	G001314785	0.00104537	0	94201/100000
G000091545	G002378905	0.00121278	0	93319/100000
G000332315	G000341585	0.0012695	0	93023/100000
G003167925	G003134375	0.00135971	0	92555/100000
G001871315	G002779915	0.00137249	0	92489/100000
G000718325	G004769145	0.00142315	0	92228/100000
G000195835	G000735795	0.00142762	0	92205/100000
G000949635	G003577215	0.00151314	0	91767/100000
G001434815	G001311765	0.00188356	0	89905/100000
G001308895	G003931975	0.00196197	0	89518/100000
G001418795	G003931975	0.00196807	0	89488/100000
G001559335	G003931975	0.00199331	0	89364/100000
G000018565	G003512625	0.00202453	0	89211/100000
G000195715	G001525555	0.00249626	0	86945/100000
G001437355	G900460455	0.00280182	0	85522/100000
G001873715	G002792475	0.00283293	0	85379/100000
G012516735	G001618615	0.00314923	0	83945/100000
G000024385	G001896795	0.00323438	0	83565/100000
G000583875	G902498835	0.00324247	0	83529/100000
G000389905	G000735795	0.00341981	0	82746/100000
G012516735	G001618625	0.00345223	0	82604/100000
G000754445	G002293055	0.00351617	0	82325/100000
G000830925	G002431625	0.00361139	0	81912/100000
G001635685	G001626545	0.00373345	0	81387/100000
G000273375	G000296235	0.00389018	0	80720/100000
G000770195	G002215425	0.00397413	0	80366/100000
G000021485	G003931975	0.00399532	0	80277/100000
G002364815	G001871525	0.00406172	0	79999/100000
G009928345	G001175545	0.00406244	0	79996/100000
G000092785	G007859155	0.00409169	0	79874/100000
G000006845	G002289125	0.00411643	0	79771/100000
G000008025	G902646925	0.0041328	0	79703/100000
G000158275	G002211645	0.00503726	0	76070/100000
G000744735	G002380295	0.00512326	0	75737/100000
G003139775	G003165815	0.00513233	0	75702/100000
G000718005	G002895405	0.0056681	0	73675/100000
G001889305	G002431625	0.00569805	0	73564/100000
G000145555	G001812935	0.00601931	0	72388/100000
G000008565	G003516665	0.00613724	0	71963/100000
G001801305	G003542495	0.00625476	0	71543/100000
G000145515	G001812935	0.00635712	0	71180/100000
G000144735	G001812935	0.0063693	0	71137/100000
G001204615	G000735795	0.00643175	0	70917/100000
G009842645	G009844615	0.00644683	0	70864/100000
G001508115	G003506195	0.00653167	0	70567/100000
G004803915	G009775485	0.00658505	0	70381/100000
G000017865	G003506195	0.00663316	0	70214/100000
G000011965	G003516265	0.00679536	0	69655/100000
G000499365	G002431625	0.00722868	0	68192/100000
