TAXID	Tool	filtered	index	length_gs	name	precision_bp	precision_seq	rank	recall_bp	recall_seq	seq_counts_gs	total_length	total_seq_counts	tp_length	tp_seq_counts	sample_id
2	Gold standard	False	0	2416905866	Bacteria	1.0	1.0	superkingdom	1.0	1.0	1429584	2416905866	1429584	2416905866	1429584	marmgCAMI2_short_read_pooled_gold_standard_assembly
2157	Gold standard	False	1	161270514	Archaea	1.0	1.0	superkingdom	1.0	1.0	152038	161270514	152038	161270514	152038	marmgCAMI2_short_read_pooled_gold_standard_assembly
10239	Gold standard	False	2	623753	Viruses	1.0	1.0	superkingdom	1.0	1.0	51	623753	51	623753	51	marmgCAMI2_short_read_pooled_gold_standard_assembly
976	Gold standard	False	3	294520372	Bacteroidetes	1.0	1.0	phylum	1.0	1.0	118464	294520372	118464	294520372	118464	marmgCAMI2_short_read_pooled_gold_standard_assembly
1239	Gold standard	False	4	128449458	Firmicutes	1.0	1.0	phylum	1.0	1.0	85155	128449458	85155	128449458	85155	marmgCAMI2_short_read_pooled_gold_standard_assembly
192989	Gold standard	False	5	490866	Nanoarchaeota	1.0	1.0	phylum	1.0	1.0	1	490866	1	490866	1	marmgCAMI2_short_read_pooled_gold_standard_assembly
32066	Gold standard	False	6	3132217	Fusobacteria	1.0	1.0	phylum	1.0	1.0	3	3132217	3	3132217	3	marmgCAMI2_short_read_pooled_gold_standard_assembly
203691	Gold standard	False	7	6342719	Spirochaetes	1.0	1.0	phylum	1.0	1.0	14	6342719	14	6342719	14	marmgCAMI2_short_read_pooled_gold_standard_assembly
1930617	Gold standard	False	8	4978230	Calditrichaeota	1.0	1.0	phylum	1.0	1.0	11	4978230	11	4978230	11	marmgCAMI2_short_read_pooled_gold_standard_assembly
508458	Gold standard	False	9	1999613	Synergistetes	1.0	1.0	phylum	1.0	1.0	2	1999613	2	1999613	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
1297	Gold standard	False	10	4513496	Deinococcus-Thermus	1.0	1.0	phylum	1.0	1.0	2117	4513496	2117	4513496	2117	marmgCAMI2_short_read_pooled_gold_standard_assembly
134625	Gold standard	False	11	2628650	Kiritimatiellaeota	1.0	1.0	phylum	1.0	1.0	2949	2628650	2949	2628650	2949	marmgCAMI2_short_read_pooled_gold_standard_assembly
200930	Gold standard	False	12	7807512	Deferribacteres	1.0	1.0	phylum	1.0	1.0	5082	7807512	5082	7807512	5082	marmgCAMI2_short_read_pooled_gold_standard_assembly
203682	Gold standard	False	13	3767029	Planctomycetes	1.0	1.0	phylum	1.0	1.0	1704	3767029	1704	3767029	1704	marmgCAMI2_short_read_pooled_gold_standard_assembly
651137	Gold standard	False	14	12531268	Thaumarchaeota	1.0	1.0	phylum	1.0	1.0	4779	12531268	4779	12531268	4779	marmgCAMI2_short_read_pooled_gold_standard_assembly
74201	Gold standard	False	15	1699928	Verrucomicrobia	1.0	1.0	phylum	1.0	1.0	5209	1699928	5209	1699928	5209	marmgCAMI2_short_read_pooled_gold_standard_assembly
200783	Gold standard	False	16	4920831	Aquificae	1.0	1.0	phylum	1.0	1.0	3334	4920831	3334	4920831	3334	marmgCAMI2_short_read_pooled_gold_standard_assembly
200940	Gold standard	False	17	1828388	Thermodesulfobacteria	1.0	1.0	phylum	1.0	1.0	3209	1828388	3209	1828388	3209	marmgCAMI2_short_read_pooled_gold_standard_assembly
1090	Gold standard	False	18	9904930	Chlorobi	1.0	1.0	phylum	1.0	1.0	4476	9904930	4476	9904930	4476	marmgCAMI2_short_read_pooled_gold_standard_assembly
28889	Gold standard	False	19	15055611	Crenarchaeota	1.0	1.0	phylum	1.0	1.0	10637	15055611	10637	15055611	10637	marmgCAMI2_short_read_pooled_gold_standard_assembly
1117	Gold standard	False	20	100803267	Cyanobacteria	1.0	1.0	phylum	1.0	1.0	72807	100803267	72807	100803267	72807	marmgCAMI2_short_read_pooled_gold_standard_assembly
57723	Gold standard	False	21	5570287	Acidobacteria	1.0	1.0	phylum	1.0	1.0	4639	5570287	4639	5570287	4639	marmgCAMI2_short_read_pooled_gold_standard_assembly
200918	Gold standard	False	22	30549706	Thermotogae	1.0	1.0	phylum	1.0	1.0	35918	30549706	35918	30549706	35918	marmgCAMI2_short_read_pooled_gold_standard_assembly
201174	Gold standard	False	23	187257449	Actinobacteria	1.0	1.0	phylum	1.0	1.0	165570	187257449	165570	187257449	165570	marmgCAMI2_short_read_pooled_gold_standard_assembly
28890	Gold standard	False	24	133192769	Euryarchaeota	1.0	1.0	phylum	1.0	1.0	136621	133192769	136621	133192769	136621	marmgCAMI2_short_read_pooled_gold_standard_assembly
1224	Gold standard	False	25	1613890064	Proteobacteria	1.0	1.0	phylum	1.0	1.0	918085	1613890064	918085	1613890064	918085	marmgCAMI2_short_read_pooled_gold_standard_assembly
544448	Gold standard	False	26	1878554	Tenericutes	1.0	1.0	phylum	1.0	1.0	2	1878554	2	1878554	2	marmgCAMI2_short_read_pooled_gold_standard_assembly
117743	Gold standard	False	27	233712236	Flavobacteriia	1.0	1.0	class	1.0	1.0	86602	233712236	86602	233712236	86602	marmgCAMI2_short_read_pooled_gold_standard_assembly
186801	Gold standard	False	28	27905249	Clostridia	1.0	1.0	class	1.0	1.0	12017	27905249	12017	27905249	12017	marmgCAMI2_short_read_pooled_gold_standard_assembly
28216	Gold standard	False	29	25750559	Betaproteobacteria	1.0	1.0	class	1.0	1.0	1857	25750559	1857	25750559	1857	marmgCAMI2_short_read_pooled_gold_standard_assembly
183988	Gold standard	False	30	1232816	Methanopyri	1.0	1.0	class	1.0	1.0	2504	1232816	2504	1232816	2504	marmgCAMI2_short_read_pooled_gold_standard_assembly
