SequenceName	ClusterNumber
G001873755	-1
G003660555	-1
G000007185	-1
G011620765	-1
G001873845	-1
G902384455	-1
G009994675	-1
G009617975	-1
G001515215	-1
G001587675	-1
G012797855	-1
G001587715	-1
G000215995	-1
G000966265	-1
G002153915	-1
G009889635	-1
G011333985	-1
G002839445	-1
G001784175	-1
G001723845	-1
G001742785	-1
G000402355	-1
G000830275	-1
G001871605	-1
G002785565	-1
G002254415	-1
G001515205	-1
G001940665	-1
G002011075	-1
G002011125	-1
G006538205	-1
G011042535	-1
G003009755	-1
G001914405	-1
G003034855	-1
G001773455	-1
G000347575	-1
G012837485	-1
G000405645	-1
G001443005	-1
G001508835	-1
G000020965	-1
G000021645	-1
G000020945	-1
G000378005	-1
G003170795	-1
G000745455	-1
G009936215	-1
G002068715	-1
G002770975	-1
G011049075	-1
G002292025	-1
G004365575	-1
G902542965	-1
G001723835	-1
G001723855	-1
G002254565	-1
G013330615	-1
G002505525	-1
G005222995	-1
G009619155	-1
G001587575	-1
G001587655	-1
G001587635	-1
G000007305	-1
G000275605	-1
G000011105	-1
G000195935	-1
G000211475	-1
G000263735	-1
G000725425	-1
G002009975	-1
G000517445	-1
G001317345	-1
G000258515	-1
G001940755	-1
G002505645	-1
G001940645	-1
G001940655	-1
G004524535	-1
G003662805	-1
G000019605	-1
G000166095	-1
G013329495	-1
G003551675	-1
G002011155	-1
G002011165	-1
G002010305	-1
G004212075	-1
G902158745	-1
G003694175	-1
G002793355	-1
G002084955	-1
G001872935	-1
G002784665	-1
G002784285	-1
G001508935	-1
G003650285	-1
G003538775	-1
G001872985	-1
G003327425	-1
G005883865	-1
G011388395	-1
G001304495	-1
G001513185	-1
G004340685	-1
G001513125	-1
G000024405	-1
G001774505	-1
G003136635	-1
G001547735	-1
G003648735	-1
G003663045	-1
G003663115	-1
G001896515	-1
G002505145	-1
G011362975	-1
G902386555	-1
G001871535	-1
G002897655	-1
G011045925	-1
G001587595	-1
G001587605	-1
G001577775	-1
G900012635	-1
G000151105	-1
G001433455	-1
G000022545	-1
G000246985	-1
G001484685	-1
G000430485	-1
G001507935	-1
G012027595	-1
G000018365	-1
G001647085	-1
G001940725	-1
G002728275	-1
G003345595	-1
G001593865	-1
G011364325	-1
G000270325	-1
G000405685	-1
G001830115	-1
G011333845	-1
G011358735	-1
G001717015	-1
G004028775	-1
G011329225	-1
G003019615	-1
G009758405	-1
G001856825	-1
G001875425	-1
G003649945	-1
G003663595	-1
G011039765	-1
G011363025	-1
G001305655	-1
G001767315	-1
G006864335	-1
G000025285	-1
G003163455	-1
G001567305	-1
G001567355	-1
G003554185	-1
G002771355	-1
G002791975	-1
G009694835	-1
G007376505	-1
G002792135	-1
G000284335	-1
G003864455	-1
G902558105	-1
G011057335	-1
G010028905	-1
G902812325	-1
G012512505	-1
G000092425	-1
G000009905	-1
G001517865	-1
G001559795	-1
G000165505	-1
G000426625	-1
G011332585	-1
G000266885	-1
G003599815	-1
G011047345	-1
G000266945	-1
G001896555	-1
G003230795	-1
G001799195	-1
G001871695	-1
G001871475	-1
G001871415	-1
G002688355	-1
G002762705	-1
G003561825	-1
G011331795	-1
G001508065	-1
G001508175	-1
G000009965	-1
G001592435	-1
G000769655	-1
G000816105	-1
G000585495	-1
G002214485	-1
G001775955	-1
G011358085	-1
G001768965	-1
G003601775	-1
G001775995	-1
G001717025	-1
G000092305	-1
G000024625	-1
G000214415	-1
G000243455	-1
G002011395	-1
G012963685	-1
G003202575	-1
G000349645	-1
G000474235	-1
G007833275	-1
G000069025	-1
G000196895	-1
G001593955	-1
G000496195	-1
G001508455	-1
G003838185	-1
G001940805	-1
G001766815	-1
G001766825	-1
G011049045	-1
G002794015	-1
G002774235	-1
G002774385	-1
G002783265	-1
G003260355	-1
G007376145	-1
G012031925	-1
G001775775	-1
G011056645	-1
G002849045	-1
G000160455	-1
G900107215	-1
G000266925	-1
G900129645	-1
G001508975	-1
G001509095	-1
G001509155	-1
G000402835	-1
G000526375	-1
G001871575	-1
G002403335	-1
G000023325	-1
G001027025	-1
G000255135	-1
G001021165	-1
G002431635	-1
G001783275	-1
G009691415	-1
G001771415	-1
G001771695	-1
G009772965	-1
G011333685	-1
G001858525	-1
G000011385	-1
G000484535	-1
G011055945	-1
G002440205	-1
G012799975	-1
G003566775	-1
G012030945	-1
G004337705	-1
G003245435	-1
G001800895	-1
G002375895	-1
G001512545	-1
G000973085	-1
G001517915	-1
G000024565	-1
G001274535	-1
G000023905	-1
G001829155	-1
G001829335	-1
G001830585	-1
G002687025	-1
G000405945	-1
G001805815	-1
G011335005	-1
G000526155	-1
G003647125	-1
G011042595	-1
G011049115	-1
G003696505	-1
G011773515	-1
G004195025	-1
G008534395	-1
G009926305	-1
G003230535	-1
G000177635	-1
G000469585	-1
G000487995	-1
G002401785	-1
G000375785	-1
G002778455	-1
