krepp	G000007105	G000007105_1_107	N7418	1.26254e-05	True	2.0
krepp	G000007105	G000007105_2_318	N6606	1.26254e-05	True	2.0
krepp	G000007105	G000007105_2_347	N6189	1.26254e-05	True	3.0
krepp	G000007105	G000007105_2_377	N6189	1.26254e-05	True	3.0
krepp	G000007105	G000007105_1_515	N5323	1.26254e-05	True	5.0
krepp	G000007105	G000007105_2_537	N6606	1.26254e-05	True	2.0
krepp	G000007105	G000007105_2_624	N7418	1.26254e-05	True	2.0
krepp	G000007105	G000007105_1_909	N6189	1.26254e-05	True	3.0
krepp	G000007105	G000007105_1_1225	N6189	1.26254e-05	True	3.0
krepp	G000007105	G000007105_2_1416	N6189	1.26254e-05	True	3.0
krepp	G000007105	G000007105_3_1556	N7030	1.26254e-05	True	1.0
krepp	G000007105	G000007105_2_1772	N6189	1.26254e-05	True	3.0
krepp	G000007105	G000007105_1_1828	N6189	1.26254e-05	True	3.0
krepp	G000007105	G000007105_2_1858	N6189	1.26254e-05	True	3.0
krepp	G000007185	G000007185_1_657	N460	0.0756816	True	13.0
krepp	G000007185	G000007185_1_921	N985	0.100937	True	14.0
krepp	G000007625	G000007625_3_11	N6415	0.0254804	True	5.0
krepp	G000007625	G000007625_3_57	N4344	1.26254e-05	True	38.0
krepp	G000007625	G000007625_1_265	G000495435	0.0233021	True	12.0
krepp	G000007625	G000007625_1_335	G900115135	1.26254e-05	True	13.0
krepp	G000007625	G000007625_6_475	N5976	0.0461174	True	16.0
krepp	G000007625	G000007625_1_588	N2397	0.0491814	True	12.0
krepp	G000007625	G000007625_6_971	N3333	0.0139914	True	7.0
krepp	G000007625	G000007625_4_1131	N6415	0.0572223	True	5.0
krepp	G000007625	G000007625_2_1149	N5976	0.00889188	True	16.0
krepp	G000007625	G000007625_4_1159	N6286	0.0246881	True	46.0
krepp	G000007625	G000007625_2_1161	N6415	0.0164301	True	5.0
krepp	G000007625	G000007625_1_1190	G900115135	1.26254e-05	True	13.0
krepp	G000007625	G000007625_4_1271	G000466585	0.0448629	True	4.0
krepp	G000007625	G000007625_6_1393	N6415	0.0572223	True	5.0
krepp	G000007625	G000007625_3_1438	G900115135	1.26254e-05	True	13.0
krepp	G000007625	G000007625_1_1503	N4391	1.26254e-05	True	10.0
krepp	G000007625	G000007625_1_1509	N5981	0.0572223	True	4.0
krepp	G000007625	G000007625_5_1656	N5610	0.0697062	True	33.0
krepp	G000007625	G000007625_4_1741	N6415	0.0164301	True	5.0
krepp	G000007625	G000007625_6_1860	N7588	0.00877593	True	46.0
krepp	G000007625	G000007625_3_1919	N2113	0.0233977	True	11.0
krepp	G000007625	G000007625_3_1980	N4344	1.26254e-05	True	38.0
krepp	G000007785	G000007785_2_172	N4487	1.26254e-05	True	6.0
krepp	G000007785	G000007785_4_369	N6512	1.26254e-05	True	16.0
krepp	G000007785	G000007785_3_382	N6492	1.26254e-05	True	9.0
krepp	G000007785	G000007785_4_419	N5649	1.26254e-05	True	6.0
